EMPLOYEE_ID,JOB_ROLE,TEAM_SIZE,MONTHLY_EXTRA_HOURS,EXTRA_HOLIDAYS,TODO_COMPLETED,BMI_RANGE,DAILY_STEPS_IN_THOUSAND,SLEEP_HOURS,DAILY_STRESS,TIME_FOR_HOBBY,HEALTHY_MEALS_PER_WEEK,SUFFICIENT_INCOME,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
2118,Fleet Manager,0,8,0,2,2,5,7,3,2,5,1,36 to 50,Male,592.5
2119,Operations Manager,7,10,2,7,2,8,7,3,1,7,2,Less than 20,Female,661.1
2120,Train Conductor,0,6,5,8,2,10,8,2,0,4,2,51 or more,Female,726.3
2121,City Bus Driver,10,10,2,8,1,10,7,3,3,10,2,21 to 35,Female,729.5
2122,Environmental and Sustainability Manager,0,10,1,7,1,7,6,1,3,8,2,21 to 35,Male,696.4
2123,Operations Manager,0,10,3,5,2,7,6,3,2,5,2,36 to 50,Female,679.4
2124,Maintenance Technician,0,2,3,0,1,10,6,5,2,10,1,21 to 35,Male,601.8
2125,Train Conductor,5,2,1,6,2,9,6,4,5,2,2,51 or more,Female,606.7
2126,Train Conductor,0,1,2,3,2,5,10,2,3,5,2,36 to 50,Female,637.3
2127,Train Conductor,0,2,0,0,1,5,5,2,4,0,1,Less than 20,Female,571.7
2128,Operations Manager,9,4,3,6,2,3,7,3,2,5,2,51 or more,Female,666.9
2129,Operations Manager,0,7,5,5,2,5,5,2,2,8,2,51 or more,Male,704.3
2130,Maintenance Technician,0,8,5,9,2,6,7,2,8,6,2,36 to 50,Female,723.6
2131,City Bus Driver,0,2,5,0,1,1,5,3,3,8,2,21 to 35,Male,649.1
2132,Depot Driver,1,8,1,10,1,8,9,4,4,5,2,21 to 35,Male,670
2133,Logistics Coordinator,6,4,3,9,1,4,6,5,0,1,2,51 or more,Female,632.9
2134,Fleet Manager,0,3,5,8,1,9,7,1,8,3,2,21 to 35,Male,746.3
2135,Train Conductor,0,5,5,10,2,10,8,2,1,2,2,36 to 50,Female,700.8
2136,Logistics Coordinator,0,10,5,8,1,5,7,3,8,7,2,51 or more,Male,764.2
2137,Fleet Manager,7,2,1,1,1,7,8,3,0,0,2,36 to 50,Male,601.6
2138,Fleet Manager,10,6,5,7,2,8,7,3,7,10,2,36 to 50,Female,712.1
2139,Depot Driver,0,5,3,5,2,6,8,3,3,8,2,36 to 50,Female,660.9
2140,Train Conductor,6,8,2,3,2,5,8,4,4,8,1,21 to 35,Female,640.3
2141,Operations Manager,4,6,5,7,2,10,5,2,2,4,2,36 to 50,Female,673
2142,Logistics Coordinator,0,10,4,4,2,3,9,4,3,0,1,51 or more,Female,623.1
2143,Fleet Manager,5,5,5,4,2,2,8,5,1,3,2,21 to 35,Female,612.5
2144,Train Conductor,0,3,2,6,2,3,7,2,1,5,2,36 to 50,Male,648.2
2145,Fleet Manager,1,10,1,0,2,2,6,4,3,4,1,36 to 50,Male,590
2146,City Bus Driver,0,10,3,3,1,2,7,4,0,4,2,51 or more,Female,646.3
2147,Environmental and Sustainability Manager,0,7,0,5,2,7,8,3,0,5,2,21 to 35,Female,639
2148,Environmental and Sustainability Manager,6,10,2,5,1,6,7,4,1,10,2,36 to 50,Female,670.9
2149,Operations Manager,0,2,4,6,2,7,9,1,10,4,2,51 or more,Female,691.9
2150,Maintenance Technician,2,10,5,7,2,2,7,5,3,5,2,36 to 50,Female,682
2151,Intercity Bus Driver,3,4,1,4,1,2,8,1,3,4,2,Less than 20,Male,680.5
2152,Maintenance Technician,4,10,5,5,1,5,5,4,1,10,2,36 to 50,Male,700.9
2153,Depot Driver,7,1,1,3,1,3,9,2,2,2,2,36 to 50,Female,628.2
2154,Train Conductor,3,6,4,6,1,5,8,3,6,8,2,21 to 35,Female,703.2
2155,Maintenance Technician,10,5,2,6,2,7,7,2,4,2,2,36 to 50,Female,645.6
2156,Depot Driver,5,6,0,2,1,6,5,4,2,5,1,21 to 35,Male,609.3
2157,Environmental and Sustainability Manager,10,7,5,10,2,10,8,0,10,0,2,Less than 20,Male,714.4
2158,Depot Driver,0,3,2,4,1,7,7,3,6,3,1,21 to 35,Male,628.6
2159,Train Conductor,8,5,0,4,1,4,7,2,2,3,2,21 to 35,Male,629.7
2160,Maintenance Technician,0,5,5,3,2,2,6,3,2,2,1,21 to 35,Male,591.7
2161,City Bus Driver,0,8,3,3,1,5,7,4,4,2,2,51 or more,Female,689.4
2162,Train Conductor,0,3,1,5,2,2,8,2,8,6,2,21 to 35,Female,666.9
2163,Intercity Bus Driver,0,4,0,4,1,2,8,1,0,4,2,21 to 35,Female,638
2164,Intercity Bus Driver,0,6,5,4,1,5,6,4,8,7,2,36 to 50,Female,687.5
2165,City Bus Driver,0,1,2,0,2,1,7,5,0,1,1,36 to 50,Female,530.5
2166,Logistics Coordinator,0,5,5,8,2,10,7,1,3,9,2,51 or more,Female,739.7
2167,Maintenance Technician,0,4,0,2,1,4,8,3,1,1,2,21 to 35,Male,660.5
2168,Train Conductor,0,6,5,9,1,6,7,2,0,5,2,51 or more,Female,670.9
2169,Depot Driver,8,5,3,8,1,7,5,3,2,3,1,51 or more,Female,626.5
2170,Operations Manager,0,5,3,9,1,10,6,2,4,6,2,51 or more,Female,742.9
2171,City Bus Driver,0,4,4,6,1,4,9,1,3,9,2,21 to 35,Female,698.1
2172,Train Conductor,0,10,0,9,1,2,10,3,8,4,2,36 to 50,Female,686
2173,City Bus Driver,0,6,5,7,2,7,7,2,3,4,2,Less than 20,Female,705.1
2174,City Bus Driver,0,4,5,4,1,6,7,4,4,5,1,51 or more,Female,670.9
2175,Logistics Coordinator,10,10,5,4,1,10,9,3,0,7,2,36 to 50,Male,661.9
2176,Maintenance Technician,0,5,5,8,1,10,9,3,2,6,2,21 to 35,Female,687.4
2177,Environmental and Sustainability Manager,0,5,4,8,2,4,5,2,4,10,2,36 to 50,Female,676.9
2178,Train Conductor,0,10,5,8,2,7,6,5,8,0,2,36 to 50,Female,689.6
2179,Logistics Coordinator,4,2,4,5,1,6,8,2,1,3,2,21 to 35,Female,645.6
2180,Train Conductor,0,1,1,2,2,3,6,1,0,2,2,36 to 50,Female,597
2181,Environmental and Sustainability Manager,3,7,4,4,1,8,7,4,2,2,2,Less than 20,Female,659.4
2182,Intercity Bus Driver,0,5,3,4,1,8,9,3,2,7,2,21 to 35,Male,705.7
2183,Logistics Coordinator,4,4,5,10,1,7,9,4,1,3,2,21 to 35,Female,674.9
2184,Intercity Bus Driver,10,1,3,5,1,1,6,3,1,2,2,21 to 35,Female,586.4
2185,Maintenance Technician,10,10,1,8,2,2,5,5,1,0,1,36 to 50,Male,577.9
2186,Maintenance Technician,10,5,5,7,2,5,7,5,0,0,2,51 or more,Female,628.2
2187,Depot Driver,0,3,5,3,2,1,7,0,9,3,1,36 to 50,Male,651.2
2188,Depot Driver,0,7,0,3,1,5,6,0,8,6,1,Less than 20,Male,648.4
2189,Train Conductor,0,3,3,5,1,10,7,4,5,10,2,21 to 35,Female,698.9
2190,Operations Manager,2,5,0,4,2,1,6,3,5,3,2,36 to 50,Male,622.1
2191,City Bus Driver,7,10,2,7,1,5,6,1,8,5,1,21 to 35,Female,658.6
2192,Environmental and Sustainability Manager,0,10,2,9,1,5,7,3,10,3,2,21 to 35,Male,686
2193,Depot Driver,0,10,3,3,2,5,8,2,1,4,2,36 to 50,Female,672.6
2194,Environmental and Sustainability Manager,2,3,1,7,1,8,8,1,2,5,1,21 to 35,Female,644.3
2195,Train Conductor,0,7,3,6,1,5,7,4,2,3,2,21 to 35,Female,692.8
2196,Fleet Manager,0,9,0,2,2,5,7,3,1,4,2,21 to 35,Male,624.8
2197,City Bus Driver,3,4,5,10,1,1,8,1,1,2,2,51 or more,Female,648
2198,Logistics Coordinator,5,10,2,4,2,7,7,5,3,3,2,36 to 50,Male,666
2199,Fleet Manager,6,10,3,7,1,5,4,5,1,4,2,21 to 35,Female,632.7
2200,City Bus Driver,0,10,2,2,1,7,7,2,0,10,2,21 to 35,Female,683
2201,Operations Manager,7,6,2,8,1,8,7,4,4,6,1,21 to 35,Female,659.4
2202,Depot Driver,0,4,5,6,1,6,8,1,3,8,2,21 to 35,Male,694.9
2203,Maintenance Technician,0,4,0,6,1,1,6,2,1,3,2,21 to 35,Male,634
2204,City Bus Driver,0,10,2,10,1,6,7,3,3,6,1,21 to 35,Female,706.6
2205,Train Conductor,0,10,4,8,1,9,7,4,1,5,2,21 to 35,Male,685.1
2206,Logistics Coordinator,0,5,4,3,2,2,8,3,1,0,1,36 to 50,Female,587
2207,Fleet Manager,0,10,3,6,1,6,6,3,3,9,2,36 to 50,Female,706.4
2208,Intercity Bus Driver,0,6,5,3,2,7,8,0,1,4,2,36 to 50,Male,666.2
2209,Train Conductor,5,10,3,4,2,7,6,1,7,4,2,51 or more,Male,686.2
2210,Environmental and Sustainability Manager,5,10,2,3,2,9,6,4,10,3,1,51 or more,Female,662.8
2211,Intercity Bus Driver,0,9,0,7,2,7,6,0,7,8,1,Less than 20,Male,674.3
2212,Operations Manager,0,3,5,8,1,3,6,5,3,5,2,36 to 50,Female,690.5
2213,Fleet Manager,0,10,5,9,1,6,8,2,10,4,2,21 to 35,Male,727.2
2214,Operations Manager,0,10,5,6,1,7,7,4,1,8,1,21 to 35,Female,711.9
2215,Intercity Bus Driver,10,1,0,1,1,1,6,5,2,2,1,36 to 50,Male,560.9
2216,Maintenance Technician,5,2,5,3,1,2,7,3,4,5,2,21 to 35,Female,700.7
2217,Fleet Manager,0,1,5,0,1,1,8,3,5,5,2,21 to 35,Female,637.8
2218,City Bus Driver,0,5,5,10,2,3,8,1,7,10,2,51 or more,Male,757.2
2219,Train Conductor,9,5,5,9,2,9,8,2,5,5,2,36 to 50,Male,693.8
2220,Logistics Coordinator,9,6,4,8,1,8,8,3,1,3,2,Less than 20,Male,661.3
2221,City Bus Driver,10,8,2,2,2,1,7,4,0,6,1,51 or more,Female,596.8
2222,Depot Driver,0,2,3,4,1,7,8,2,1,5,2,51 or more,Female,671.3
2223,City Bus Driver,0,3,2,2,1,8,6,1,3,2,2,21 to 35,Male,633.7
2224,Fleet Manager,0,10,5,7,2,6,7,3,4,7,2,21 to 35,Female,708.3
2225,Train Conductor,0,10,2,4,1,4,6,5,5,10,2,36 to 50,Female,690.7
2226,Fleet Manager,2,7,3,9,1,3,6,1,3,4,1,21 to 35,Female,688.8
2227,Train Conductor,0,10,5,7,2,10,6,4,2,6,2,36 to 50,Female,703.8
2228,Fleet Manager,0,3,0,7,2,10,6,2,2,5,2,21 to 35,Male,657.9
2229,Train Conductor,0,10,5,9,1,8,7,2,2,6,2,21 to 35,Female,751.2
2230,City Bus Driver,5,10,1,6,2,7,8,1,2,1,2,51 or more,Male,645.8
2231,Train Conductor,0,5,4,6,2,4,8,2,2,10,2,51 or more,Female,692.8
2232,Logistics Coordinator,5,3,3,7,1,5,5,1,5,3,2,21 to 35,Male,682.2
2233,Maintenance Technician,2,1,5,8,2,6,9,3,8,3,2,51 or more,Male,686.6
2234,Train Conductor,5,10,5,8,2,7,8,4,10,5,2,21 to 35,Female,691.7
2235,Intercity Bus Driver,0,4,0,3,1,2,5,2,1,1,1,21 to 35,Male,603.4
2236,City Bus Driver,10,10,5,10,1,8,8,3,3,8,2,51 or more,Female,717.4
2237,Environmental and Sustainability Manager,1,3,1,6,2,4,7,5,0,3,2,51 or more,Female,607.6
2238,Fleet Manager,0,8,5,3,1,9,7,1,1,10,2,51 or more,Female,731
2239,Fleet Manager,0,10,5,6,1,4,8,3,9,10,1,21 to 35,Female,720
2240,Train Conductor,0,3,0,4,2,8,9,3,4,4,2,Less than 20,Female,653
2241,Maintenance Technician,5,3,5,6,2,9,7,1,1,5,2,36 to 50,Male,632.4
2242,Intercity Bus Driver,0,6,1,8,1,10,8,2,2,4,2,36 to 50,Female,666.8
2243,Logistics Coordinator,5,10,1,8,1,10,6,2,1,3,2,36 to 50,Male,669.8
2244,Train Conductor,10,3,2,1,1,5,6,5,2,5,2,36 to 50,Female,656.9
2245,Maintenance Technician,0,10,4,8,2,10,8,4,1,10,2,36 to 50,Female,702.5
2246,Maintenance Technician,0,10,2,8,1,2,7,3,6,6,2,21 to 35,Female,690.5
2247,Environmental and Sustainability Manager,3,8,2,5,1,9,6,4,3,5,2,Less than 20,Male,662.8
2248,Train Conductor,5,6,3,5,2,5,7,3,5,6,2,21 to 35,Female,646.9
2249,Logistics Coordinator,0,2,0,5,1,10,8,4,0,6,1,36 to 50,Male,607.3
2250,Maintenance Technician,10,10,3,3,2,1,8,5,3,5,2,21 to 35,Female,615.7
2251,Train Conductor,0,10,0,8,2,1,6,3,6,1,2,51 or more,Female,645.9
2252,Train Conductor,0,3,1,1,1,1,7,1,3,2,2,21 to 35,Male,642.7
2253,Train Conductor,3,2,4,1,1,3,6,3,2,8,2,36 to 50,Female,624.2
2254,Logistics Coordinator,10,10,2,7,1,5,8,3,6,10,2,21 to 35,Female,698.1
2255,Maintenance Technician,0,3,0,1,1,10,7,1,1,2,1,Less than 20,Male,612.2
2256,Environmental and Sustainability Manager,5,3,5,7,1,6,8,1,2,7,2,21 to 35,Female,711.9
2257,Operations Manager,0,6,0,4,2,4,6,2,1,10,2,Less than 20,Male,614.2
2258,City Bus Driver,10,10,4,9,1,7,6,5,0,2,2,36 to 50,Female,636.9
2259,City Bus Driver,0,10,0,6,2,10,6,3,2,4,2,36 to 50,Female,642.6
2260,Train Conductor,4,4,0,3,2,5,8,3,1,8,1,36 to 50,Male,616.5
2261,Depot Driver,0,4,0,2,1,4,8,3,1,1,2,21 to 35,Male,660.5
2262,Depot Driver,10,10,1,3,1,1,6,1,2,1,1,51 or more,Male,603.4
2263,Environmental and Sustainability Manager,5,5,1,5,1,1,8,3,1,3,2,21 to 35,Female,648
2264,Environmental and Sustainability Manager,0,1,5,9,2,1,7,5,1,6,2,51 or more,Female,608.7
2265,City Bus Driver,0,10,1,6,1,10,7,2,5,10,1,Less than 20,Male,724.4
2266,Maintenance Technician,1,6,5,5,2,3,7,3,0,7,2,36 to 50,Female,646.5
2267,Train Conductor,0,1,3,5,2,8,7,1,3,0,2,36 to 50,Female,662.8
2268,City Bus Driver,0,1,4,9,1,10,8,0,5,3,2,36 to 50,Female,717.8
2269,Train Conductor,4,5,3,5,2,3,8,3,6,10,1,21 to 35,Male,651.8
2270,Logistics Coordinator,0,3,0,4,2,3,6,3,0,3,1,21 to 35,Female,568.1
2271,Fleet Manager,0,6,3,5,2,4,9,3,2,10,1,36 to 50,Female,655.6
2272,Depot Driver,0,4,0,8,1,1,7,2,0,10,2,21 to 35,Female,654.6
2273,Fleet Manager,0,4,5,7,2,3,6,2,3,5,2,51 or more,Female,675.2
2274,Environmental and Sustainability Manager,0,4,0,10,2,6,7,4,2,6,2,21 to 35,Male,706.6
2275,Intercity Bus Driver,5,6,5,6,1,1,7,1,2,5,2,21 to 35,Male,649.5
2276,Operations Manager,8,10,1,7,1,7,7,1,6,5,2,Less than 20,Female,686.4
2277,Fleet Manager,0,5,2,2,1,6,8,2,4,8,1,21 to 35,Male,642.2
2278,Train Conductor,5,6,4,6,2,1,8,4,1,4,2,51 or more,Female,646.3
2279,Logistics Coordinator,5,6,5,5,1,10,7,3,3,7,2,36 to 50,Female,705.7
2280,Environmental and Sustainability Manager,7,10,3,3,2,3,7,4,4,2,1,36 to 50,Female,576.8
2281,Train Conductor,0,3,0,0,1,1,3,5,2,3,1,Less than 20,Male,543.3
2282,Train Conductor,10,10,2,5,2,1,6,3,1,4,2,36 to 50,Female,610.2
2283,Train Conductor,10,5,5,2,1,5,7,5,2,4,2,51 or more,Male,657.1
2284,Train Conductor,0,10,0,6,2,6,9,1,2,5,2,21 to 35,Male,681.5
2285,Environmental and Sustainability Manager,0,10,2,3,1,5,8,4,5,4,2,51 or more,Male,703.2
2286,City Bus Driver,10,2,2,6,2,2,7,4,2,3,2,51 or more,Male,617.4
2287,City Bus Driver,2,6,3,7,1,4,7,3,7,6,1,36 to 50,Female,687.5
2288,Intercity Bus Driver,0,10,2,3,1,4,8,3,5,5,1,36 to 50,Female,657.1
2289,Fleet Manager,0,4,2,7,1,3,7,5,1,7,1,36 to 50,Male,638
2290,Depot Driver,3,7,2,6,1,10,8,2,2,4,2,Less than 20,Male,680.4
2291,City Bus Driver,0,2,3,5,2,1,9,5,1,1,2,51 or more,Female,643.1
2292,Maintenance Technician,10,3,1,6,1,6,8,1,3,10,2,36 to 50,Female,672.8
2293,Environmental and Sustainability Manager,5,5,3,4,2,2,4,4,2,2,2,21 to 35,Male,613.4
2294,Operations Manager,0,5,3,7,1,4,8,4,6,5,1,21 to 35,Female,684.3
2295,Train Conductor,3,8,4,5,1,3,7,3,4,5,2,36 to 50,Male,699.2
2296,City Bus Driver,0,3,5,8,1,5,8,3,2,8,2,36 to 50,Female,713.4
2297,Operations Manager,0,5,3,8,1,3,8,2,6,7,2,36 to 50,Female,714.7
2298,City Bus Driver,5,5,5,3,2,5,6,4,0,5,2,36 to 50,Female,612.7
2299,Train Conductor,3,8,5,8,1,9,7,4,4,7,2,51 or more,Male,759.9
2300,Train Conductor,1,4,2,3,1,2,9,1,0,10,2,21 to 35,Male,677.3
2301,Environmental and Sustainability Manager,5,3,3,5,1,10,8,3,2,5,2,21 to 35,Male,670.2
2302,Maintenance Technician,2,2,2,2,2,1,5,3,1,3,1,51 or more,Female,589.6
2303,Environmental and Sustainability Manager,8,10,3,3,2,8,6,1,2,7,2,51 or more,Male,660.9
2304,Operations Manager,10,6,2,4,2,6,7,2,0,8,2,21 to 35,Female,657.3
2305,Maintenance Technician,3,10,0,7,1,10,7,4,1,7,2,36 to 50,Male,676.8
2306,Depot Driver,10,10,1,6,1,10,4,5,0,3,2,36 to 50,Male,621.8
2307,Train Conductor,10,10,3,4,2,1,7,3,0,1,2,51 or more,Male,593.4
2308,Operations Manager,8,10,1,3,2,6,7,4,2,3,2,36 to 50,Male,618.2
2309,City Bus Driver,0,3,0,3,1,1,10,1,2,3,2,21 to 35,Female,653.5
2310,Operations Manager,0,3,2,5,2,4,7,4,0,2,1,21 to 35,Female,592.3
2311,Operations Manager,0,10,5,4,1,6,9,2,3,10,1,Less than 20,Male,717.2
2312,Train Conductor,10,1,0,8,1,10,8,5,2,2,1,21 to 35,Female,612.4
2313,Depot Driver,10,4,0,5,1,4,7,4,2,10,1,21 to 35,Female,614.4
2314,Maintenance Technician,8,7,1,9,2,4,8,2,3,9,1,36 to 50,Female,652
2315,City Bus Driver,2,8,5,4,1,5,6,2,1,10,1,21 to 35,Female,670.5
2316,Train Conductor,1,6,0,10,1,7,9,1,2,5,2,Less than 20,Female,669.8
2317,Operations Manager,1,6,4,7,2,8,4,3,3,8,2,36 to 50,Female,675.8
2318,Depot Driver,5,7,4,6,2,4,6,2,4,4,1,Less than 20,Male,644.8
2319,Fleet Manager,2,10,2,7,1,6,7,1,1,7,2,36 to 50,Female,696.4
2320,Depot Driver,0,3,4,1,1,1,9,2,6,4,2,21 to 35,Female,655
2321,Depot Driver,0,10,1,0,2,10,7,3,2,5,2,Less than 20,Male,637.7
2322,Train Conductor,0,5,1,5,2,3,6,3,4,2,2,36 to 50,Male,658.2
2323,Maintenance Technician,0,10,5,5,2,7,6,4,9,5,2,21 to 35,Female,744
2324,Train Conductor,0,2,1,3,1,1,9,3,2,5,2,51 or more,Female,646.5
2325,Operations Manager,4,8,3,3,1,6,6,3,3,9,2,21 to 35,Male,687.7
2326,Depot Driver,0,4,0,7,2,9,5,4,1,6,1,36 to 50,Male,581
2327,Train Conductor,10,4,0,2,1,10,6,3,0,4,2,36 to 50,Male,605.2
2328,Operations Manager,0,10,5,7,2,5,8,1,0,10,2,36 to 50,Male,693
2329,Train Conductor,3,5,0,2,2,8,6,5,1,2,2,36 to 50,Male,606.5
2330,Depot Driver,0,4,1,5,2,1,9,1,4,3,2,51 or more,Female,641.4
2331,Train Conductor,3,10,5,8,1,5,8,3,2,10,2,21 to 35,Female,730.4
2332,Environmental and Sustainability Manager,0,2,2,2,1,6,10,3,1,4,2,21 to 35,Female,644.3
2333,Depot Driver,0,6,0,4,1,10,8,0,6,10,2,36 to 50,Male,728
2334,Depot Driver,0,2,1,1,2,1,9,2,6,3,2,51 or more,Female,622.7
2335,Maintenance Technician,10,10,5,8,2,10,7,3,7,10,2,36 to 50,Female,705.7
2336,Operations Manager,0,10,2,8,1,7,9,4,5,3,1,21 to 35,Female,654.5
2337,Intercity Bus Driver,0,10,5,2,2,10,7,2,8,9,2,51 or more,Male,748.2
2338,Logistics Coordinator,0,10,0,8,2,4,8,3,3,8,2,21 to 35,Male,665.6
2339,Logistics Coordinator,0,7,1,5,1,6,7,2,1,10,2,21 to 35,Male,679.4
2340,Maintenance Technician,8,3,4,6,2,2,8,3,6,6,1,21 to 35,Female,641.4
2341,Train Conductor,0,2,0,1,1,2,9,2,0,2,1,Less than 20,Male,577
2342,Maintenance Technician,8,1,2,5,1,2,7,4,0,5,2,51 or more,Female,612.3
2343,Train Conductor,10,10,1,7,2,4,5,4,10,1,2,36 to 50,Male,631
2344,City Bus Driver,0,2,5,5,2,4,7,3,3,4,2,51 or more,Female,668.8
2345,City Bus Driver,0,10,4,7,1,9,8,2,2,10,2,36 to 50,Male,715.9
2346,Fleet Manager,0,10,5,9,2,5,8,2,6,4,2,51 or more,Female,701.5
2347,City Bus Driver,0,10,5,10,1,10,7,0,10,10,2,36 to 50,Male,814.5
2348,Operations Manager,0,10,5,5,2,6,7,5,1,6,2,36 to 50,Male,694.7
2349,Logistics Coordinator,0,10,0,8,1,8,6,1,1,3,2,Less than 20,Male,659.2
2350,Depot Driver,0,10,5,10,1,1,6,5,4,10,2,21 to 35,Male,662.9
2351,City Bus Driver,5,10,4,8,2,7,8,2,1,6,2,36 to 50,Female,681.5
2352,Train Conductor,10,10,1,4,2,2,6,1,1,3,1,Less than 20,Male,595.1
2353,Intercity Bus Driver,0,3,0,4,2,1,8,2,2,1,2,51 or more,Female,614
2354,Logistics Coordinator,5,10,0,9,1,1,5,5,3,3,2,21 to 35,Female,674.6
2355,Train Conductor,0,10,5,7,2,2,8,1,3,4,2,21 to 35,Male,704.3
2356,Intercity Bus Driver,3,8,5,6,2,3,7,3,2,5,1,36 to 50,Female,665.2
2357,Logistics Coordinator,0,10,1,7,1,3,9,2,2,10,1,Less than 20,Female,675.8
2358,Fleet Manager,10,5,1,10,1,7,6,4,1,5,2,21 to 35,Male,642
2359,City Bus Driver,0,10,5,6,1,10,7,3,2,7,2,21 to 35,Female,717.6
2360,Logistics Coordinator,5,7,4,7,2,9,5,5,4,9,2,51 or more,Male,650.7
2361,Maintenance Technician,0,10,1,2,2,10,6,1,1,5,2,51 or more,Male,669.8
2362,Operations Manager,0,5,5,8,1,10,9,2,3,6,2,51 or more,Female,740.1
2363,Depot Driver,0,5,3,8,1,6,6,1,10,5,1,Less than 20,Female,680.9
2364,Depot Driver,0,6,2,8,1,2,7,5,4,10,2,21 to 35,Male,685.4
2365,City Bus Driver,0,10,1,2,2,3,10,0,2,4,2,36 to 50,Female,665.8
2366,Operations Manager,0,6,5,1,2,4,5,2,4,10,2,51 or more,Female,688.8
2367,City Bus Driver,3,4,0,10,2,4,5,2,6,10,2,21 to 35,Male,654.8
2368,Train Conductor,3,5,0,1,1,3,8,1,0,1,2,51 or more,Male,602.5
2369,Depot Driver,0,10,3,9,1,7,6,2,1,7,2,36 to 50,Male,708.3
2370,Train Conductor,5,7,3,8,2,3,7,5,2,3,2,36 to 50,Female,629.5
2371,Depot Driver,0,8,2,3,2,7,6,4,1,8,2,21 to 35,Female,648.8
2372,Intercity Bus Driver,0,4,3,5,2,6,6,4,3,5,2,21 to 35,Female,674.1
2373,Maintenance Technician,0,9,3,10,1,2,7,4,10,2,1,51 or more,Female,716
2374,City Bus Driver,2,10,3,1,1,9,6,3,3,7,2,Less than 20,Female,691.7
2375,Maintenance Technician,5,2,3,4,1,3,10,5,0,3,1,21 to 35,Male,616.5
2376,Depot Driver,7,10,4,4,1,4,8,1,7,6,2,51 or more,Male,699.6
2377,City Bus Driver,4,2,0,7,1,5,7,4,1,10,2,21 to 35,Male,662.2
2378,Environmental and Sustainability Manager,0,10,1,6,1,7,7,5,1,6,1,36 to 50,Female,666
2379,Train Conductor,0,5,0,8,1,4,8,2,3,5,2,21 to 35,Female,665.6
2380,Maintenance Technician,0,2,2,5,1,3,6,2,5,3,1,21 to 35,Male,634.4
2381,Fleet Manager,7,10,3,0,2,5,5,4,0,7,2,36 to 50,Male,588.7
2382,Environmental and Sustainability Manager,0,10,1,5,1,4,7,4,2,2,2,Less than 20,Female,638.2
2383,Fleet Manager,5,10,0,10,1,9,8,1,5,10,2,21 to 35,Male,697.2
2384,Train Conductor,0,10,5,6,2,7,5,3,2,4,2,36 to 50,Female,650.3
2385,Maintenance Technician,10,10,1,0,2,1,5,1,0,6,1,21 to 35,Female,596.4
2386,Train Conductor,0,9,5,6,2,2,7,1,3,6,2,21 to 35,Female,661.6
2387,City Bus Driver,0,7,3,6,2,8,6,3,5,10,2,36 to 50,Female,679.6
2388,Train Conductor,0,3,1,3,1,4,8,1,1,1,2,21 to 35,Male,660.5
2389,Train Conductor,0,10,5,8,1,10,8,1,10,10,2,36 to 50,Male,762
2390,Train Conductor,5,10,2,2,2,10,7,5,1,4,2,36 to 50,Female,607.1
2391,Operations Manager,0,2,4,3,2,4,6,1,7,10,2,21 to 35,Female,666.9
2392,Fleet Manager,0,3,0,5,2,5,7,2,0,2,2,21 to 35,Female,589.1
2393,Intercity Bus Driver,4,5,5,6,2,8,7,1,1,10,2,36 to 50,Female,691.7
2394,Intercity Bus Driver,10,10,0,10,2,5,7,3,0,2,2,21 to 35,Female,640.1
2395,Maintenance Technician,5,7,2,9,1,9,9,3,8,8,2,51 or more,Male,729.7
2396,City Bus Driver,0,1,5,6,1,2,8,1,1,2,1,21 to 35,Male,629.5
2397,Maintenance Technician,3,6,0,0,1,1,6,4,0,5,1,36 to 50,Male,598.3
2398,City Bus Driver,3,6,5,7,1,3,7,4,1,4,2,36 to 50,Female,660.1
2399,Maintenance Technician,7,3,4,5,1,3,9,2,2,3,2,36 to 50,Male,665.6
2400,Intercity Bus Driver,3,10,1,7,2,5,9,3,7,5,1,21 to 35,Female,645.6
2401,Intercity Bus Driver,0,10,3,6,1,7,8,2,8,9,2,51 or more,Female,722.3
2402,Fleet Manager,7,8,5,9,2,7,6,1,5,10,2,21 to 35,Female,682.8
2403,City Bus Driver,3,10,5,10,1,8,5,4,1,6,2,51 or more,Female,686.2
2404,Train Conductor,0,2,5,7,1,3,8,1,6,10,2,51 or more,Male,733.4
2405,Operations Manager,3,9,2,9,2,6,7,3,6,9,2,36 to 50,Female,696.4
2406,Operations Manager,5,5,5,6,1,6,7,2,2,4,1,21 to 35,Female,638.6
2407,Depot Driver,0,7,5,8,2,1,8,3,10,6,2,21 to 35,Male,682
2408,Train Conductor,5,4,5,3,2,5,8,1,3,6,2,36 to 50,Female,647.1
2409,Train Conductor,8,10,3,4,2,3,8,4,6,10,2,51 or more,Male,665.4
2410,City Bus Driver,8,3,4,6,2,2,8,3,6,6,1,21 to 35,Female,641.4
2411,Environmental and Sustainability Manager,0,10,5,3,2,5,8,1,0,6,2,36 to 50,Female,660.7
2412,Logistics Coordinator,10,4,5,5,1,2,6,1,1,10,1,36 to 50,Male,647.8
2413,City Bus Driver,3,3,4,5,1,6,6,3,6,8,1,21 to 35,Male,670.7
2414,Environmental and Sustainability Manager,0,10,5,8,1,10,7,3,2,6,2,51 or more,Male,755
2415,Maintenance Technician,0,10,0,6,1,9,7,2,7,10,2,21 to 35,Female,739.5
2416,Train Conductor,0,5,5,7,1,4,8,0,1,7,2,21 to 35,Male,708.1
